title,desc,location,area,price,bedrooms,bathrooms,house_link
6 Bed House with En Suite at Spring Valley Off Lower Kabete Road On Shanzu Road,6 Bedroom Ambassadorial House with a Private Ga ...,"Spring Valley off Lower Kabete road on Shanzu road, Spring Valley, Westlands",nan,"KSh 800,000/ month",6 Bedrooms,10 Bathrooms,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-spring-valley-3859884
4 Bed Townhouse with En Suite at Kiamburoad,Modern 4-Bedroom Townhouse with DSQ,"Kiamburoad, Kiambu Road",nan,"KSh 250,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kiambu-road-3871517
4 Bed Townhouse with En Suite at Runda,Luxury Townhouse in Northern Nairobi! 4274sq ft ...,"Runda, Westlands",nan,"KSh 580,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3871514
4 Bed House with En Suite in Runda,Spacious 4bdrm family house to let in runda.,"Runda Nairobi, Runda, Westlands",nan,"KSh 300,000/ month",4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3871509
4 Bed Townhouse with En Suite at Lavington,Elegant 4-Bedroom Townhouse + DSQ for Rent in L ...,Lavington,nan,"KSh 400,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3871510
5 Bed House with En Suite at Paradise Lost Road,Beautiful five bedrooms house for rent in kiamb ...,"Paradise lost road, Kiambu Road",400 m²,"KSh 350,000/ month",5 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-kiambu-road-3871499
4 Bed House with En Suite at Kiambu Road,A luxurious 4 bedrooms villa for rent in Edenvi ...,"Kiambu road, Kiambu Road",250 m²,"KSh 180,000/ month",4 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kiambu-road-3871498
5 Bed Townhouse with En Suite at Maziwa Road,An executive 5 bedrooms townhouse with garden f ...,"690, Maziwa road, Lavington",nan,"KSh 400,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871497
5 Bed Townhouse with En Suite at Lavington,Cozy 5 bedrooms townhouse with garden for rent ...,"653, Lavington",nan,"KSh 283,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871496
4 Bed Townhouse with En Suite at Lavington,An elegant 4 bedrooms townhouse with garden for ...,Lavington,nan,"KSh 310,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3871493
4 Bed House with En Suite at Ngecha Road,Cozy 4 bedrooms bungalow for rent in lake view,"Ngecha road, Lake View, Westlands",nan,"KSh 350,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lake-view-3871490
5 Bed Townhouse with En Suite at Convent Drive,AN ELEGANT FIVE BEDROOM TOWNHOUSE IN LAVINGTON,"Convent Drive, Lavington",nan,"KSh 320,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871489
4 Bed Townhouse with En Suite at Kileleshwa,Cozy 4 bedrooms townhouse with dsq for rent in ...,Kileleshwa,nan,"KSh 210,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kileleshwa-3871487
5 Bed Townhouse with En Suite at Convent Drive,A LOVELY FIVE BEDROOM TOWNHOUSE IN LAVINGTON,"Convent Drive, Lavington",nan,"KSh 350,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871488
4 Bed Townhouse with En Suite at Lavington Green,AN ELEGANT FOUR BEDROOM TOWNHOUSE IN LAVINGTON,"Lavington Green, Lavington",nan,"KSh 330,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3871486
5 Bed Townhouse with En Suite at Kaputei Gardens,A STUNNING MODERN FIVE BEDROOM TOWNHOUSE IN LAV ...,"Kaputei Gardens, Lavington",nan,"KSh 350,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871485
5 Bed Townhouse with En Suite at Lavington,Stunning 5 bedrooms townhouse with garden for r ...,Lavington,nan,"KSh 350,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871484
5 Bed Townhouse with En Suite at Lavington,Beautiful modern 5 bedrooms townhouse for rent ...,Lavington,nan,"KSh 310,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871483
4 Bed Townhouse with En Suite at Peponi Road,"AN ELEGANT FOUR BEDROOM TOWNHOUSE IN WESTLANDS, ...","Peponi Road, Spring Valley, Westlands",nan,"KSh 450,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-spring-valley-3871482
4 Bed Townhouse with En Suite at Valley Arcade,AN EXECUTIVE FOUR BEDROOM TOWNHOUSE IN LAVINGTO ...,"Valley Arcade, Lavington",nan,"KSh 200,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3871481
6 Bed Townhouse with En Suite at Convent Drive,AN ELEGANT SIX BEDROOM TOWNHOUSE IN LAVINGTON,"Convent Drive, Lavington",nan,"KSh 320,000/ month",6 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-rent-lavington-3871480
5 Bed Townhouse with En Suite at Lavington Green,AN ELEGANT FIVE BEDROOM TOWNHOUSE IN LAVINGTON,"Lavington Green, Lavington",nan,"KSh 350,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871479
4 Bed Townhouse with En Suite at Lavington Green,A LOVELY FOUR BEDROOM TOWNHOUSE IN LAVINGTON,"Lavington Green, Lavington",nan,"KSh 330,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3871478
5 Bed House with En Suite in Runda,Elegant 5-Bedroom House for Rent in Runda,"Runda, Westlands",nan,"KSh 400,000/ month",5 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3869312
6 Bed House with En Suite at Karen,Luxurious 6-Bedroom Mansion for Rent in Karen – ...,Karen,nan,"KSh 450,000/ month",6 Bedrooms,6 Bathrooms,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-karen-3782668
5 Bed House with En Suite in Karen,5 Bedroom House for Rent in Karen,Karen,nan,"KSh 320,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3863529
5 Bed Townhouse with En Suite at Convent Drive,AN ELEGANT FIVE BEDROOM TOWNHOUSE IN LAVINGTON,"Convent Drive, Lavington",nan,"KSh 320,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871477
4 Bed House with En Suite at Kirawa Road,4-Bedroom Stand-Alone Home To Let | Kitisuru,"Kirawa road, Kitisuru, Westlands",nan,"KSh 250,000/ month",4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3871475
5 Bed Townhouse with En Suite at Lavington Green,Brilliant 5 bedroom townhouse plus TV room and ...,"Maziwa, Lavington green, Lavington",nan,"KSh 300,000/ month",5 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871472
2 Bed House with En Suite in Karen,2 Bedroom Cottage To Let in Karen,Karen,nan,"KSh 160,000/ month",2 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-karen-3871461
4 Bed Townhouse with En Suite in Parklands,4-Bedroom Townhouse + DSQ for Rent in Parklands ...,"Parklands, Westlands",nan,"KSh 170,000/ month",4 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-parklands-3871433
5 Bed Townhouse with En Suite in Karen,"Stunning 5-Bedroom All Ensuite Villa with DSQ, ...",Karen,400 m²,"KSh 500,000/ month",5 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-3871432
5 Bed House with En Suite in Karen,5 BEDROOM STANDALONE ON 1.5ACRE,Karen,nan,"KSh 290,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3871429
5 Bed Townhouse with En Suite in Syokimau,Elegant 5-Bedroom All Ensuite House with DSQ in ...,Syokimau,170 m²,"KSh 150,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-syokimau-3871430
3 Bed Townhouse with En Suite in Windsor,A THREE BEDROOMS WITH A DSQ FURNISHED  TOWN HOU ...,"Windsor, Roysambu",nan,"KSh 520,000/ month",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-rent-windsor-3871377
5 Bed Townhouse with En Suite in Karen,"A five bedrooms town house   all en suite, with ...",Karen,nan,"KSh 500,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-3871385
5 Bed Townhouse with En Suite in Syokimau,A FIVE BEDROOMS TOWNHOUSE IN S HARED COMPOUND O ...,Syokimau,nan,"KSh 150,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-syokimau-3871413
2 Bed House with En Suite at Spring Valley Police,Excellent 2 bedroom guest wing with garden,"Spring valley police, Kyuna, Westlands",nan,"KSh 49,000/ month",2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-kyuna-3870418
5 Bed Townhouse with En Suite in Lavington,Exclusive 5-Bedroom Luxury Townhouse for Rent i ...,Lavington,nan,"KSh 350,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871412
5 Bed Townhouse with En Suite in Lavington,🌿 Elegant 5-Bedroom Townhouse for Rent in Lavi ...,Lavington,nan,"KSh 300,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3871406
5 Bed House with En Suite at Mountain View Estate,To let 5bedrooms own compound,"Mountain View Estate, Mountain View, Westlands",nan,"KSh 130,000/ month",5 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-mountain-view-3839981
4 Bed Townhouse with Garden at Gikambura,To let 4-Bedroom,"Gikambura, Kikuyu",nan,"KSh 130,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-gikambura-3861944
4 Bed Townhouse with En Suite at Gikambura,To let 4-Bedroom,"Gikambura, Kikuyu",nan,"KSh 120,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-gikambura-3865435
4 Bed House with En Suite in Karen,For Rent: 4-Bedroom House in Karen,Karen,nan,"KSh 450,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3871394
4 Bed House with En Suite in Runda,Runda – Four-Bedroom House for Rent,"Runda, Westlands",nan,"KSh 230,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3871389
3 Bed House with En Suite at Riverside Pearl,Luxury 3 Bedroom Apartment with DSQ off Riversi ...,"Riverside Pearl, Riverside, Westlands",nan,"KSh 250,000/ month",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-riverside-3835192
5 Bed House with Staff Quarters at Glory Road,5 Bedroom House To Let in Runda,"Glory Road, Runda, Westlands",nan,"KSh 400,000/ month",5 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3863028
4 Bed Townhouse with En Suite at James Gichuru Road,4 Bedroom Townhouse For Rent,"James Gichuru Road, Lavington",nan,"KSh 250,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3860300
