posted_on,title,description,location,area,price,bedrooms,bathrooms,house_link,amenities,agencyName,agencyNumber,agentLink
Created At: 27 November 2025,4 Bed Townhouse with En Suite at Amboseli Lane,"An elegant ultra modern spacious 4bedrooms  townhouse available for rent in the leafy secure suburb of Lavington close to Braeburn and Rusinga School, Riara Group of Schools, Lavington Mall among other key establishments. - High quality finishes - Spacious bright lounge - Separate dining room - Modern closed plan kitchen with pantry - Laundry area - Domestic staff quarter - Solar hot water system - Ample parking - Enhanced security with Perimeter wall - CCTV surveillance system - 24hr company security - Few units in the compound",Lavington,nan,"KSh 250,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3875593,"[['Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Service Charge Included', 'Walk In Closet'], ['Balcony', 'CCTV', 'Electric Fence', 'Borehole', 'Garden', 'Parking', 'Staff Quarters', 'Wheelchair Access', 'Gated Community', 'Kids Play Area'], ['Bus Stop', 'Golf Course', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']]",Allan  Lilande,+254 739 178394,https://www.buyrentkenya.com/estate-agent/fairhomes-kenya
Created At: 25 November 2025,5 Bed Villa with En Suite at South Road,"5BR HOUSE FOR RENT | KARENRent: KES 260,000/monthPRIME LOCATION:Near Langata South Road, Karen - in one of Nairobi's most prestigious and serene neighborhoods.SPACIOUS FAMILY LIVING:Ideal for families seeking comfort, privacy, and easy access to Karen's excellent schools, shopping centers, and recreational facilities.CONTACT US:📞0790 ****phone_0View Number📧gadsh****email_0Send email",Karen,nan,"KSh 260,000/ month",5 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-karen-3875064,"[['Aircon', 'Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Service Charge Included', 'Walk In Closet'], ['Balcony', 'BBQ', 'CCTV', 'Electric Fence', 'Borehole', 'Garden', 'Parking', 'Gated Community', 'Staff Quarters', 'Wheelchair Access'], ['Bus Stop', 'Golf Course', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']]",Esther Githumbi,+254 790 049148,https://www.buyrentkenya.com/estate-agent/esther-githumbi
Created At: 27 November 2025,3 Bed House at Garden Estate,"Discover refined living in this charming all-ensuite 3-bedroom house located in the peaceful and highly desirable Garden Estate, Nairobi. This beautifully designed home offers the perfect blend of comfort, privacy, and convenience in one of the city's most sought-after neighbourhoods.Enjoy standout features including:-Three spacious ensuite bedrooms offering comfort for the whole family-A dedicated laundry room for added convenience-Private parking and a private gate ensuring maximum privacy-Shared compound with only one other tenant, maintaining a quiet and exclusive environment-Enhanced security with panic buttons and controlled access-Solar backup, solar water heating, and borehole water supply for reliable, uninterrupted livingPerfectly positioned near top lifestyle and essential destinations—Windsor, Braeburn School, Kiambu Road, UN Avenue, Village Market, Two Rivers Mall, Garden City, and just minutes to the CBD, this home offers unmatched accessibility","Garden Estate, Roysambu",nan,"KSh 180,000/ month",3 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-garden-estate-3875580,[[]],Mary Gichane,+254 743 823935,https://www.buyrentkenya.com/estate-agent/pam_golding_properties
Created At: 27 November 2025,5 Bed House with En Suite in Spring Valley,"Spring Valley Five-Bedroom House for Rent – 700,000 kesGeoscape presents  five-bedroom house in the serene and prestigious Spring Valley neighborhood. Perfect for families or diplomats seeking ample space, privacy, and modern comforts in a secure and peaceful environment.KEY FEATURES✅ Five spacious bedrooms✅ Modern fitted kitchen✅ Stylish contemporary bathrooms✅ Bright and airy living and dining areas✅ Large windows for excellent natural light✅ Private, well-maintained garden✅ Secure and peaceful compound✅ Ample parkingAMENITIES(no shared amenities)✅ Landscaped outdoor spaces✅ Secure compoundLOCATION – SPRING VALLEY✅ Convenient access to UN offices✅ Close to top schools and shopping centres✅ Easy access to Westlands and major roadsA grand and elegant home offering comfort, luxury, and tranquility in one of Nairobi’s most sought-after neighborhoods.📞 Please call Geoscape Global today to book a viewing!Geoscape Global📞0721 ****phone_0View Number📧info@****email_0Send email🌐 www.geoscapeglobal.co.ke#SpringValley #HouseForRent #LuxuryLiving #GeoscapeGlobal #NairobiHomes #FamilyHome #UNClose","Spring Valley, Westlands",nan,"KSh 700,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-spring-valley-3875562,"[['Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet'], ['Balcony', 'BBQ', 'Parking', 'Staff Quarters', 'Borehole', 'Garden'], ['Bus Stop', 'Shopping Centre', 'Hospital', 'School']]",Geoscape  Limited,+254 721 668667,https://www.buyrentkenya.com/estate-agent/geoscape_global_limited
Created At: 26 November 2025,6 Bed House with En Suite at Convent Drive,"Discover unparalleled luxury in this Magnificent 5-bedroom townhouse, located within an exclusive gated community of just eight residences. Situated on a generous quarter-acre lot, each home offers privacy, tranquility, and modern living in one of Nairobi’s most sought-after neighborhood of Lavington.Property Highlights:Semi-Furnished: Includes curtains, sheers, a modern wall unit, light fixtures, mirrors, and a built-in bookshelf.Spacious Grounds: Ample room for children to play, guest parking, and a beautifully manicured garden featuring a charming gazebo.Luxurious Amenities: Steam room, sauna, Jacuzzi, and a large master suite with a private study, walk-in closet, and balcony.Outdoor Living: Enjoy a serene patio, perfect for entertaining or relaxation.Top-Tier Security: 24-hour security with an electric fence for complete peace of mind.Water and Power: Equipped with two 10,000-litre water tanks and an inverter for uninterrupted water and power supply.Key Features:Contemporary Elegance: Enjoy sleek finishes, a spacious garden, and interiors bathed in natural light with high ceilings and large windows.Prime Location: Conveniently located near premier shopping malls, international schools, and just minutes from the vibrant city center.Serene Environment: Nestled in Lavington, this peaceful enclave offers a tranquil retreat without sacrificing city access.Effortless Commute: Reach key destinations like Jomo Kenyatta International Airport and Nairobi National Park with ease.Interior Features:Spacious Living: A fully fitted kitchen with high and low-level cabinets, cooker, microwave, oven, and a walk-in pantry.Entertainment Ready: TV room with built-in, light-fitted bookshelf, plus DSTV dish and Zuku wiring already installed.En-suite Bedrooms: All five bedrooms come with private bathrooms and walk-in closets, offering ample space and privacy for the entire family.This townhouse offers the perfect blend of luxury, convenience, and security in a serene environment.",Lavington,nan,"KSh 400,000/ month",6 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-lavington-3875392,"[['Walk In Closet', 'Fibre Internet', 'En Suite', 'Backup Generator', 'Alarm', 'Aircon'], ['Kids Play Area', 'Gated Community', 'Wheelchair Access', 'Staff Quarters', 'Parking', 'Gym', 'Garden', 'Borehole', 'Electric Fence', 'CCTV', 'BBQ', 'Balcony'], ['Shopping Centre', 'School', 'Hospital', 'Bus Stop']]",Mr. Hosea,+254 748 103325,https://www.buyrentkenya.com/estate-agent/nairobi-royal-homes
Created At: 27 November 2025,4 Bed Townhouse with En Suite at Runda,"Having 4 well sized bedrooms, all walk in closets and bathrooms gives each member of your family a self-sufficient private space of their own.Featuring-4 bedrooms all ensuites Villa-Generous lounge with a fireplace-Separate dining area-Guest cloak room-Spacious kitchen with pantry-External fully fitted kitchen-Dhobi area- staff quarters-Electric fencing-A car shed for 3 cars-Ample car parking-Adequate water storage-24 hrs. security","Runda, Westlands",nan,"KSh 400,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3875559,"[['En Suite', 'Fibre Internet', 'Walk In Closet', 'Backup Generator', 'Alarm', 'Service Charge Included'], ['Staff Quarters', 'Parking', 'Garden', 'Gated Community']]",Wilfred Mwolyo,+254 721 643102,https://www.buyrentkenya.com/estate-agent/capstone-properties
Created At: 27 November 2025,6 Bed House with En Suite in Lavington,"Magnificent 6-Bedroom All-En-Suite Townhouse for rent – Lavington 🌿✨💰 Rent Price: KSh 450,000📍 Location: Prime Lavington – NairobiExperience unmatched luxury in this stunning 6-bedroom all-en-suite townhouse, set on expansive grounds with a beautifully landscaped big garden, a charming gazebo, and ample guest parking. Designed for elegance and comfort, this residence is perfect for families, diplomats, and executives.✨ Key Features:✅ 6 Spacious All-En-Suite Bedrooms with Walk-In Closets✅ Luxurious Master Suite with Jacuzzi✅ Sleek Interiors with High Ceilings & Natural Light✅ Dedicated Home Office – Perfect for Remote Work✅ Spacious Living & Dining Area Opening to the Garden✅ Fully Fitted Modern Kitchen with Premium Finishes✅ Private Big Garden – Ideal for Outdoor Living & Entertainment✅ In-House Gym for a Healthy Lifestyle✅ Open Terrace – Perfect for Relaxation or Social GatheringsThis is more than a house—it’s a statement of prestige and luxury living.📲 Call/WhatsApp:+254 ****phone_0View Numberto schedule a private viewing today!",Lavington,nan,"KSh 450,000/ month",6 Bedrooms,nan,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-lavington-3875547,"[['Aircon', 'Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Service Charge Included'], ['Balcony', 'BBQ', 'CCTV', 'Electric Fence', 'Borehole', 'Garden', 'Parking', 'Staff Quarters', 'Gated Community'], ['Bus Stop', 'Golf Course', 'Hospital', 'School', 'Shopping Centre']]",Charitie  Wanjiku,+254 712 149045,https://www.buyrentkenya.com/estate-agent/gemac-properties
Created At: 27 November 2025,1 Bed House with En Suite in Runda,"Runda One-Bedroom Furnished Cottage for Rent – 1,000 usdGeoscape presents a cosy and fully furnished one-bedroom cottage in the peaceful and secure neighbourhood of Runda. Perfect for professionals or diplomats seeking privacy, comfort, and a serene living environment.KEY FEATURES✅ Fully furnished✅ Spacious bedroom✅ Modern fitted kitchen✅ Stylish bathroom✅ Bright living area with natural light✅ Cozy and charming cottage ambience✅ Secure and peaceful compoundAMENITIES(no shared amenities)✅ Private, tranquil setting✅ Outdoor spaceLOCATION – RUNDA✅ Convenient access to UN offices✅ Close to top schools and shopping centres✅ Easy access to diplomatic zonesA charming and comfortable cottage — ideal for anyone seeking peaceful living in Runda.📞 Please call Geoscape Global today to book a viewing!Geoscape Global📞0721 ****phone_0View Number📧info@****email_0Send email🌐 www.geoscapeglobal.co.ke#Runda #FurnishedCottage #ForRent #GeoscapeGlobal #NairobiHomes #CottageLiving #UNClose #PeacefulLiving","Runda, Westlands",nan,"KSh 129,750/ month",1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/furnished-1-bedroom-house-for-rent-runda-3875541,"[['Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Furnished'], ['BBQ', 'Parking', 'Staff Quarters', 'Borehole', 'Garden'], ['Bus Stop', 'Shopping Centre', 'Hospital', 'School']]",Geoscape  Limited,+254 721 668667,https://www.buyrentkenya.com/estate-agent/geoscape_global_limited
Created At: 27 November 2025,6 Bed Townhouse with En Suite in Lavington,"A Signature Luxury Residence by Nascent PropertiesWelcome to exceptional living in one of Lavington’s most coveted gated estates. This brand-new, architecturally crafted 6-bedroom all-ensuite townhouse delivers unmatched space, style, and sophistication across three luxurious levels — designed for families who desire elegance and everyday convenience in a secure, tranquil setting.✨ Property OverviewA flawless fusion of modern design, premium finishes, and smart spatial planning — set within an exclusive compound of 8 luxury townhouses. From the open-plan interiors to the private entertainment spaces, every detail reflects superior craftsmanship.🛋 Grand & Light-Filled Living SpacesA beautifully appointed living area flows effortlessly into the dining space, enhanced by:Floor-to-ceiling windows for abundant natural lightContemporary ceiling designs Direct access to a well-manicured private garden — perfect for hosting or unwinding🍽 Modern Open-Plan Gourmet KitchenA sleek, fully fitted kitchen featuring:High-end cabinetryQuality appliancesBreakfast areaSeamless connection to the outdoor gardenSpacious pantryStylish, functional, and perfect for both everyday cooking and entertaining.🛏 6 Elegantly Designed Ensuite BedroomsEach bedroom boasts:Custom wardrobesPremium tiling and finishesBright, airy ambianceThe master suite stands out with a walk-in closet, luxury bathroom, and a serene feel ideal for relaxation.🎬 Family Room on the First FloorA warm, versatile lounge space ideal for:Movie nightsFamily bondingA quiet reading retreat🖥 Home Office / Study RoomA private, quiet workspace designed to support remote work or study — a must-have for modern living.🏋️ Dedicated Gym Room with BalconyAn exclusive in-house fitness area that opens to a balcony, creating a refreshing workout environment.🎉 Oversized Entertainment Balcony with KitchenetteLocated on the upper floor, this expansive, elevated entertainment zone offers:A stylish kitchenetteLarge open terraceAmple space for gatherings, BBQs, or sunset relaxationA perfect setting for premium indoor-outdoor living.🔧 Additional Premium FeaturesSelf-contained DSQ for 1Ample parkingSecure gated communityExcellent water supplyModern finishes throughout📍 Prime Lavington AddressEnjoy proximity to:International schoolsMajor shopping mallsFine dining restaurantsPrestigious social amenitiesHealth & wellness centers💰 Rent: KES 450,000 per month(Inclusive of service charge)📞 Schedule a Private Tour TodayThis is a rare opportunity to secure a brand-new luxury townhouse at one of Lavington’s most desirable addresses.Contact Nascent Properties today and experience elevated modern living.",Lavington,nan,"KSh 450,000/ month",6 Bedrooms,6 Bathrooms,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-rent-lavington-3875524,"[['Aircon', 'Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Service Charge Included', 'Walk In Closet'], ['Balcony', 'BBQ', 'CCTV', 'Electric Fence', 'Garden', 'Borehole', 'Gym', 'Parking', 'Staff Quarters', 'Wheelchair Access', 'Gated Community', 'Kids Play Area'], ['Bus Stop', 'Hospital', 'Scenic View', 'Shopping Centre', 'School', 'Golf Course']]",Nascent Properties,+254 722 960363,https://www.buyrentkenya.com/estate-agent/nascent-properties
Created At: 27 November 2025,4 Bed House with En Suite in Runda,"Runda Four-Bedroom House for Rent – 5,000 usdGeoscape presents a beautifully designed four-bedroom house in the prestigious neighbourhood of Runda. This elegant home offers generous space, modern comforts, and a serene environment — perfect for families, diplomats, or professionals seeking refined living.KEY FEATURES✅ Four spacious bedrooms✅ Modern fitted kitchen✅ Stylish and contemporary bathrooms✅ Bright and airy living and dining areas✅ Large windows with excellent natural light✅ Private, well-maintained garden✅ Private swimming pool✅ Secure and peaceful compound✅ Ample parkingAMENITIES(no shared shared amenities)✅ Private compound✅ Landscaped outdoor spaces✅ Private swimming poolLOCATION – RUNDA✅ Close to the UN offices✅ Near top international schools✅ Easy access to major shopping centres✅ Convenient route to diplomatic zonesA refined and spacious home offering luxury, privacy, and upscale comfort in one of Nairobi’s most exclusive neighbourhoods.📞 Please call Geoscape Global today to book a viewing!Geoscape Global📞0721 ****phone_0View Number📧info@****email_0Send email🌐 www.geoscapeglobal.co.ke#Runda #LuxuryHome #PrivatePool #HouseForRent #GeoscapeGlobal #NairobiRealEstate #ElegantHomes","Runda, Westlands",nan,"KSh 648,750/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3875525,"[['Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet'], ['Balcony', 'BBQ', 'Parking', 'Staff Quarters', 'Borehole', 'Garden', 'Swimming Pool'], ['Bus Stop', 'Shopping Centre', 'Hospital', 'School']]",Geoscape  Limited,+254 721 668667,https://www.buyrentkenya.com/estate-agent/geoscape_global_limited
